provider,model,prompt_id,category,technique_id,technique,conciseness_level,temperature,repeat,latency_s,response,char_count,word_count,sentence_count,token_count,avg_words_per_sentence,unique_word_count,type_token_ratio,list_item_count,hedge_count,caveat_count,filler_count,hedge_density,caveat_density,filler_density,answer_coverage,signal_efficiency,judge_relevance,judge_completeness,judge_conciseness,judge_overall
openai,gpt-mock,capital_france,factual,baseline,Baseline (no constraint),0,0.0,0,0.449,"Paris. Keep in mind that there are exceptions to consider. As always, consider consulting a qualified professional for advice specific to your needs. For example, you might consider how this applies in everyday scenarios. Let me help you with that. In summary, the key point is captured above, with surrounding detail for completeness. In most cases this is typically true, though not always.",392,63,7,75,9.0,49,0.7778,0,2,1,0,0.0317,0.0159,0.0,1.0,0.159,4,5,1,3.4
openai,gpt-mock,capital_france,factual,baseline,Baseline (no constraint),0,0.0,1,0.759,"Paris. For example, you might consider how this applies in everyday scenarios. Please double-check against an authoritative source before relying on this. Generally speaking, the answer can vary somewhat depending on context. In summary, the key point is captured above, with surrounding detail for completeness. It's important to note that the right approach can depend on your specific situation. Before diving in, it helps to frame the broader picture here.",460,71,7,84,10.14,59,0.831,0,3,2,0,0.0423,0.0282,0.0,1.0,0.141,4,5,1,3.4
openai,gpt-mock,capital_france,factual,baseline,Baseline (no constraint),0,0.2,0,0.49,"Paris. Let me help you with that. Overall, that covers the essentials and a bit more for good measure. It's important to note that the right approach can depend on your specific situation. Please double-check against an authoritative source before relying on this. For some additional context, this topic has a few dimensions worth understanding. For example, you might consider how this applies in everyday scenarios. Generally speaking, the answer can vary somewhat depending on context.",489,77,8,90,9.62,63,0.8182,0,3,2,1,0.039,0.026,0.013,1.0,0.13,5,5,1,3.8
openai,gpt-mock,capital_france,factual,baseline,Baseline (no constraint),0,0.2,1,0.377,"Paris. Please double-check against an authoritative source before relying on this. Before diving in, it helps to frame the broader picture here. For example, you might consider how this applies in everyday scenarios. That said, your mileage may vary depending on context. Thanks for asking. In most cases this is typically true, though not always.",347,56,7,67,8.0,49,0.875,0,3,1,0,0.0536,0.0179,0.0,1.0,0.179,5,5,1,3.8
openai,gpt-mock,capital_france,factual,baseline,Baseline (no constraint),0,0.5,0,0.6,"Paris. It's important to note that the right approach can depend on your specific situation. As always, consider consulting a qualified professional for advice specific to your needs. Before diving in, it helps to frame the broader picture here. That's a great question. In summary, the key point is captured above, with surrounding detail for completeness. In most cases this is typically true, though not always. As an illustration, imagine a common situation where this comes up.",482,77,8,93,9.62,61,0.7922,0,1,2,0,0.013,0.026,0.0,1.0,0.13,5,5,1,3.8
openai,gpt-mock,capital_france,factual,baseline,Baseline (no constraint),0,0.5,1,0.642,"Paris. Generally speaking, the answer can vary somewhat depending on context. Let me help you with that. Please double-check against an authoritative source before relying on this. In summary, the key point is captured above, with surrounding detail for completeness. It's important to note that the right approach can depend on your specific situation. For some additional context, this topic has a few dimensions worth understanding. For example, you might consider how this applies in everyday scenarios.",507,78,8,92,9.75,64,0.8205,0,3,2,0,0.0385,0.0256,0.0,1.0,0.128,4,5,1,3.4
openai,gpt-mock,capital_france,factual,baseline,Baseline (no constraint),0,0.7,0,0.427,"Paris. As always, consider consulting a qualified professional for advice specific to your needs. For some additional context, this topic has a few dimensions worth understanding. In summary, the key point is captured above, with surrounding detail for completeness. Thanks for asking. For example, you might consider how this applies in everyday scenarios. Keep in mind that there are exceptions to consider. In most cases this is typically true, though not always.",466,72,8,86,9.0,57,0.7917,0,2,1,0,0.0278,0.0139,0.0,1.0,0.139,5,5,1,3.8
openai,gpt-mock,capital_france,factual,baseline,Baseline (no constraint),0,0.7,1,0.671,"Paris. That said, your mileage may vary depending on context. Overall, that covers the essentials and a bit more for good measure. Please double-check against an authoritative source before relying on this. That's a great question. For example, you might consider how this applies in everyday scenarios. Generally speaking, the answer can vary somewhat depending on context. For some additional context, this topic has a few dimensions worth understanding.",456,70,8,84,8.75,56,0.8,0,4,1,1,0.0571,0.0143,0.0143,1.0,0.143,5,5,1,3.8
openai,gpt-mock,capital_france,factual,baseline,Baseline (no constraint),0,1.0,0,0.731,"Paris. In most cases this is typically true, though not always. As an illustration, imagine a common situation where this comes up. For some additional context, this topic has a few dimensions worth understanding. Let me help you with that. Overall, that covers the essentials and a bit more for good measure. Keep in mind that there are exceptions to consider. Please double-check against an authoritative source before relying on this.",437,72,8,84,9.0,62,0.8611,0,1,1,1,0.0139,0.0139,0.0139,1.0,0.139,5,5,1,3.8
openai,gpt-mock,capital_france,factual,baseline,Baseline (no constraint),0,1.0,1,0.622,"Paris. Let me help you with that. For example, you might consider how this applies in everyday scenarios. Keep in mind that there are exceptions to consider. Please double-check against an authoritative source before relying on this. For some additional context, this topic has a few dimensions worth understanding. Generally speaking, the answer can vary somewhat depending on context. Overall, that covers the essentials and a bit more for good measure.",455,72,8,84,9.0,59,0.8194,0,3,1,1,0.0417,0.0139,0.0139,1.0,0.139,5,5,1,3.8
